Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Cdd,TDK,C2012X7R1V475K125AC,1,0.19,6.75,Cap: 4.7 µF  Total Derated Cap: 4.7 µF  VDC: 35 V  ESR: 2.35 mΩ  Package: 0805  
U1,Texas Instruments,UCC28740DR,1,0.42,55.2,
Cin,Panasonic,EEUED2G100,1,0.21,144,Cap: 10 µF  Total Derated Cap: 10 µF  VDC: 400 V  ESR: 2.86 Ω  Package:   
D1,Microsemi,UFS180JE3/TR13,1,0.73,41.59,Type: Ultrafast  VRRM: 800 V  Io: 1 A  
Dac,Vishay-Semiconductor,DF08SA,1,0.24,98.79,Type: Switching-Bridge  VRRM: 800 V  Io: 1 A  
Rs1,Vishay-Dale,CRCW040290K9FKED,1,0.01,3,Resistance: 90.9 kΩ  Tolerance: 1.0%  Power: 63 mW  
O1,California Eastern Laboratories,PS2811-4,1,2.3,55.13,CTR_Min: 100.0%  CTR_Max: 400.0%  IcMax: 40 mmA  
Cfb3,AVX,08053C104JAZ2A,1,0.07,6.75,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 25 V  ESR: 0 Ω  Package: 0805  
Dvdd,Microsemi,UFS180JE3/TR13,1,0.73,41.59,Type: Ultrafast  VRRM: 800 V  Io: 1 A  
Ccomp1,Kemet,C0402C202J3GAC7867,1,0.12,3,Cap: 2 nF  Total Derated Cap: 2 nF  VDC: 5 V  ESR: 0 Ω  Package: 0402  
Rvsc2,Vishay-Dale,CRCW020144K2FNED,1,0.01,2.08,Resistance: 44.2 kΩ  Tolerance: 1.0%  Power: 50 mW  
U2,Texas Instruments,UCC24636DBVR,1,0.4,14.82,
Rfbt,Vishay-Dale,CRCW040243K2FKED,1,0.01,3,Resistance: 43.2 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rtblk,Vishay-Dale,CRCW040219K1FKED,1,0.01,3,Resistance: 19.1 kΩ  Tolerance: 1.0%  Power: 63 mW  
Ropt,Vishay-Dale,CRCW04021K00FKED,1,0.01,3,Resistance: 1 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfb4,Yageo,RC0201FR-0718K7L,1,0.01,2.08,Resistance: 18.7 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rs2,Vishay-Dale,CRCW040230K1FKED,1,0.01,3,Resistance: 30.1 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cin2,Panasonic,EEUED2G100,1,0.21,144,Cap: 10 µF  Total Derated Cap: 10 µF  VDC: 400 V  ESR: 2.86 Ω  Package:   
Rvpc1,Yageo,RC0201FR-07162KL,1,0.01,2.08,Resistance: 162 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rpl,Yageo,RC0201FR-0712K1L,1,0.01,2.08,Resistance: 12.1 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rtl,Vishay-Dale,CRCW04021K07FKED,1,0.01,3,Resistance: 1.07 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rvpc2,Yageo,RC0201FR-0710KL,1,0.01,2.08,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  
T1,Core=TDK   CoilFormer=TDK,Core=B65807P0000R049   CoilFormer=B65808E1508T001,1,0.57,341.01,Core Type: RM6 LP  Core Material: N49  Turns Ratio(Nps): 58:3  
L1,Bourns,2300HT-471-H-RC,1,2.48,5.2,L: 470 µH  DCR: 140 mΩ  IDC: 4.5 A  
Rvsc1,Yageo,RC0201FR-07133KL,1,0.01,2.08,Resistance: 133 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rfbb,Yageo,RC0603FR-0743KL,1,0.01,4.68,Resistance: 43 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rlc,Vishay-Dale,CRCW04021K91FKED,1,0.01,3,Resistance: 1.91 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rcs,CUSTOM,CUSTOM,1,NA,NA,Resistance: 1.69 Ω  Tolerance: 0.0%  Power: 0 W  
Rfb3,Yageo,RC0201FR-07205KL,1,0.01,2.08,Resistance: 205 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rdd,Yageo,RC0603FR-0722RL,1,0.01,4.68,Resistance: 22 Ω  Tolerance: 1.0%  Power: 100 mW  
M1,STMicroelectronics,STD3NK80Z-1,1,0.74,36.55,VdsMax: 800 V  IdsMax: 2.5 Amps  
Cvdd,TDK,C3216X7R2A105K160AA,1,0.13,10.92,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 100 V  ESR: 4.58 mΩ  Package: 1206_180  
M2,Texas Instruments,CSD19531Q5A,1,0.66,55.2,VdsMax: 100 V  IdsMax: 100 Amps  
VR,Texas Instruments,TL431AIDBZR,1,0.08,14,IkMin: 400 mA  InitialAccuracy: 1.0%  ReferenceOutput: 2.5 V  
Rvdd,Vishay-Dale,CRCW040210R0FKED,1,0.01,3,Resistance: 10 Ω  Tolerance: 1.0%  Power: 63 mW  
Cout,Panasonic,16SVPF560M,1,0.63,106.09,Cap: 560 µF  Total Derated Cap: 560 µF  VDC: 16 V  ESR: 14 mΩ  Package: 8x11.9  
Dz,Diodes Inc.,SMBJ130A-13-F,1,0.09,44.16,Type: SMT  VRWM: 130 V  
